dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat
0.921987,ospf,-,INT,20,0,1280,0,20.607666,10551.125,0.0,0,0,48.525635,0.0,52.253803,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,1,0,0,0,0,DoS
9e-06,sctp,-,INT,2,0,104,0,111111.11,4.622222e+07,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Exploits
0.921987,ospf,-,INT,20,0,1280,0,20.607666,10551.125,0.0,0,0,48.525635,0.0,52.253803,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,1,0,0,0,0,Reconnaissance
0.0,arp,-,INT,1,0,46,0,0.0,0.0,0.0,0,0,60000.688,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,0,0,0,1,Normal
8e-06,udp,-,INT,2,0,1762,0,125000.0,8.81e+08,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,881,0,0,0,1,1,0,0,0,0,Normal
1e-05,udp,-,INT,2,0,2126,0,100000.0,8.504e+08,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1063,0,0,0,2,1,0,0,0,0,Normal
3e-06,udp,-,INT,2,0,784,0,333333.3,1.0453333e+09,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,392,0,0,0,2,1,0,0,0,0,Normal
1.1e-05,udp,-,INT,2,0,496,0,90909.09,1.8036363e+08,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,248,0,0,0,1,1,0,0,0,0,Normal
6e-06,udp,-,INT,2,0,900,0,166666.66,6e+08,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,450,0,0,0,2,1,0,0,0,0,Normal
2.8e-05,udp,-,INT,2,0,1384,0,35714.285,1.9771429e+08,0.0,0,0,0.028,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,692,0,0,0,1,1,0,0,0,0,Normal
0.921987,ospf,-,INT,20,0,1280,0,20.607666,10551.125,0.0,0,0,48.525635,0.0,52.253803,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,1,0,0,0,0,Backdoor
0.921987,ospf,-,INT,20,0,1280,0,20.607666,10551.125,0.0,0,0,48.525635,0.0,52.253803,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,1,0,0,0,0,Reconnaissance
5e-06,udp,-,INT,2,0,1068,0,200000.0,8.544e+08,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,534,0,0,0,1,1,0,0,0,0,Normal
6e-06,udp,-,INT,2,0,1960,0,166666.66,1.3066666e+09,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,980,0,0,0,2,1,0,0,0,0,Normal
0.0,arp,-,INT,1,0,46,0,0.0,0.0,0.0,0,0,60000.71,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,0,0,0,1,Normal
